Year,PAR,TAir,VPD,CO2,fAPAR,Nitrogen,P,TSA,TSB,MB,Rain,PA,dates
2018,0.2434594056,-1.86703472222222,0.00774725392367759,365,0.7,1,,2.19786795138889,2.36236658333333,0.492888888888889,0,101325,2018-01-01
2018,0.5136942972,-0.467632183908046,0.00022946605837304,365,0.7,1,,2.20529288194444,2.36630239583333,0.4666,0,101325,2018-01-02
2018,0.6637513974,0.206534722222222,0.000261950753509321,365,0.7,1,,2.17672493055556,2.34465189583333,0.3925,0,101325,2018-01-03
2018,0.4241319948,-0.666277777777778,0.000189816968141354,365,0.7,1,,2.14422106944444,2.31293965972222,0.376840846774641,0,101325,2018-01-04
2018,0.4156450248,0.338180555555556,0.000261411606238493,365,0.7,1,,2.12245647916667,2.29424234722222,0.46575,0,101325,2018-01-05
2018,0.5014654374,-1.48395138888889,0.00541411236451739,365,0.7,1,,2.0436981875,2.22327697222222,,0,101325,2018-01-06
2018,1.6057835904,-5.22122222222222,0.0337394280427026,365,0.7,1,,2.06923666666667,2.24566315277778,,0,101325,2018-01-07
2018,1.8690013692,-5.0105,0.0431288723241327,365,0.7,1,,2.0517933125,2.23533629861111,,0,101325,2018-01-08
2018,1.6306931676,-1.65363194444444,0.00362210464701007,365,0.7,1,,2.01586946527778,2.20480701388889,,0,101325,2018-01-09
2018,1.501724895,-5.33650451702571,0.00982084932209559,365,0.7,1,,1.99763288888889,2.18245899305556,,0,101325,2018-01-10
2018,0.8834615346,-7.95947222222222,0.0175188816690144,365,0.7,1,,1.93755209027778,2.13854488888889,,0,101325,2018-01-11
2018,1.1447291154,-5.6074375,0.0130889450049122,365,0.7,1,,1.86521853472222,2.07587794444444,,0,101325,2018-01-12
2018,1.0969103034,-4.80619444444444,0.0107862676025959,365,0.7,1,,1.81969741666667,2.02860163888889,,0,101325,2018-01-13
2018,0.6837480228,-5.07206944444445,0.0113638079659714,365,0.7,1,,1.79148606944444,1.9966193125,,0,101325,2018-01-14
2018,0.474135522,-8.54954861111111,0.0212517760189486,365,0.7,1,,1.74828091666667,1.96041322222222,0.4732,0,101325,2018-01-15
2018,1.2683827962,-9.18356944444444,0.0433686392748099,365,0.7,1,,1.66602302083333,1.89843926388889,0.4484,0,101325,2018-01-16
2018,1.5514214832,-9.58075694444444,0.0368966057046847,365,0.7,1,,1.57929460416667,1.82438329861111,0.4702,0,101325,2018-01-17
2018,1.4530947282,-7.99783333333333,0.0173140543120422,365,0.7,1,,1.51273548611111,1.7594995,,0,101325,2018-01-18
2018,1.5151655982,-9.13954861111111,0.0162569303216868,365,0.7,1,,1.47841222916667,1.71713021527778,,0,101325,2018-01-19
2018,1.2482016894,-9.2430625,0.0160364630207458,365,0.7,1,,1.44188158333333,1.67956594444444,,0,101325,2018-01-20
2018,2.0981070714,-10.6730763888889,0.0198527950598155,365,0.7,1,,1.40357909722222,1.63988991666667,,0,101325,2018-01-21
2018,2.0685359622,-12.2993125,0.0195562608281681,365,0.7,1,,1.35892676388889,1.59680000694444,,0,101325,2018-01-22
2018,2.3861646018,-13.3573125,0.0183731571673107,365,0.7,1,,1.29609602083333,1.54553230555556,,0,101325,2018-01-23
2018,1.0464993018,-3.64112578179291,0.00731877486785604,365,0.7,1,,1.24220221527778,1.48823692361111,,0,101325,2018-01-24
2018,1.1605314582,2.32293055555556,0.0326036336606835,365,0.7,1,,1.15555683333333,1.38107121527778,,0,101325,2018-01-25
2018,1.3255392414,0.847777777777778,0.0168363478901239,365,0.7,1,,1.18019779166667,1.38742601388889,,0,101325,2018-01-26
